Town,Restriction Type,Total Estimated length (m),Total Estimated places (@5.5m each)
Appledore,Disabled Parking,35,6
Appledore,Keep Clear Marking,52,9
Appledore,Loading Only,13,2
Appledore,No Waiting,1225,222
Appledore,No Waiting At Any Time,2863,520
Ashburton,Disabled Parking,23,4
Ashburton,Keep Clear Marking,38,6
Ashburton,Limited Waiting,182,33
Ashburton,Loading Only,24,4
Ashburton,No Loading At Any Time,684,124
Ashburton,No Waiting,277,50
Ashburton,No Waiting At Any Time,5036,915
Ashprington,No Waiting At Any Time,495,89
Aveton Gifford,Keep Clear Marking,9,1
Aveton Gifford,No Waiting,31,5
Aveton Gifford,No Waiting At Any Time,1350,245
Axminster,Disabled Parking,18,3
Axminster,Keep Clear Marking,27,4
Axminster,Limited Waiting,309,56
Axminster,Loading Only,69,12
Axminster,No Waiting,2864,520
Axminster,No Waiting At Any Time,3758,683
Bampton,No Waiting,565,102
Bampton,No Waiting At Any Time,674,122
Bantham,No Waiting,494,89
Bantham,No Waiting At Any Time,456,82
Barnstaple,Clearway route,2360,429
Barnstaple,Disabled Parking,192,34
Barnstaple,Keep Clear Marking,185,33
Barnstaple,Limited Waiting,3098,563
Barnstaple,Loading Only,434,78
Barnstaple,No Loading,1794,326
Barnstaple,No Loading At Any Time,1582,287
Barnstaple,No Waiting,12381,2251
Barnstaple,No Waiting At Any Time,33950,6172
Barnstaple,Parking Place,223,40
Barnstaple,Pay & Display,238,43
Barnstaple,Residents Permit Parking,7142,1298
Battisborough Cross,No Waiting At Any Time,66,12
Beer,Disabled Parking,15,2
Beer,Limited Waiting,189,34
Beer,No Waiting,3256,591
Beer,No Waiting At Any Time,6057,1101
Bere Alston,Disabled Parking,7,1
Bere Alston,Limited Waiting,28,5
Bere Alston,No Waiting,209,38
Bere Alston,No Waiting At Any Time,670,121
Berrynarbor,Limited Waiting,17,3
Berrynarbor,No Loading,22,4
Berrynarbor,No Waiting,22,3
Berrynarbor,No Waiting At Any Time,411,74
Bickington,Limited Waiting,29,5
Bickington,No Waiting At Any Time,715,130
Bideford,Disabled Parking,72,13
Bideford,Emergency Service Vehicles,20,3
Bideford,Keep Clear Marking,90,16
Bideford,Limited Waiting,2267,412
Bideford,Loading Only,124,22
Bideford,No Loading,1499,272
Bideford,No Loading At Any Time,810,147
Bideford,No Waiting,4116,748
Bideford,No Waiting At Any Time,12399,2254
Bideford,Pay & Display,405,73
Bideford,Residents Permit Parking,319,57
Bigbury on Sea,No Waiting,983,178
Bigbury on Sea,No Waiting At Any Time,2142,389
Bishops Tawton,Disabled Parking,5,0
Bishops Tawton,No Waiting At Any Time,228,41
Bishopsteignton,Keep Clear Marking,56,10
Bishopsteignton,Limited Waiting,30,5
Bishopsteignton,No Waiting At Any Time,913,166
Blackawton,Keep Clear Marking,25,4
Bovey Tracey,Emergency Service Vehicles,8,1
Bovey Tracey,Keep Clear Marking,26,4
Bovey Tracey,Limited Waiting,266,48
Bovey Tracey,No Waiting,303,55
Bovey Tracey,No Waiting At Any Time,3290,598
Bow,No Waiting,429,78
Bow,No Waiting At Any Time,1276,231
Braunton,Disabled Parking,19,3
Braunton,Keep Clear Marking,10,1
Braunton,Limited Waiting,156,28
Braunton,Loading Only,4,0
Braunton,No Loading,449,81
Braunton,No Waiting,191,34
Braunton,No Waiting At Any Time,8174,1486
Bridgerule,Keep Clear Marking,23,4
Brixton,Keep Clear Marking,18,3
Brixton,No Waiting At Any Time,116,21
Broadclyst,Keep Clear Marking,79,14
Broadclyst,No Waiting At Any Time,741,134
Buckfast,No Waiting,641,116
Buckfast,No Waiting At Any Time,491,89
Buckfastleigh,Disabled Parking,18,3
Buckfastleigh,Keep Clear Marking,66,11
Buckfastleigh,Limited Waiting,103,18
Buckfastleigh,Loading Only,44,7
Buckfastleigh,No Loading,12,2
Buckfastleigh,No Loading At Any Time,435,79
Buckfastleigh,No Waiting,1856,337
Buckfastleigh,No Waiting At Any Time,2768,503
Buckland in the Moor,No Waiting At Any Time,635,115
Buckland Monachorum,No Waiting At Any Time,10,1
Budleigh Salterton,Limited Waiting,408,74
Budleigh Salterton,No Loading At Any Time,52,9
Budleigh Salterton,No Waiting,43,7
Budleigh Salterton,No Waiting At Any Time,7346,1335
