Town,Restriction Type,Total Estimated length (m),Total Estimated places (@5.5m each)
Appledore,Disabled Parking,34,4
Appledore,Keep Clear Marking (TRO),52,8
Appledore,Loading Only,13,2
Appledore,No Waiting,1225,220
Appledore,No Waiting At Any Time,2863,502
Ashburton,Disabled Parking,23,4
Ashburton,Keep Clear Marking (TRO),38,6
Ashburton,Limited Waiting,197,32
Ashburton,Loading Only,24,4
Ashburton,No Loading At Any Time,684,114
Ashburton,No Waiting,238,39
Ashburton,No Waiting At Any Time,5266,917
Ashprington,No Waiting At Any Time,495,89
Aveton Gifford,Keep Clear Marking (TRO),9,1
Aveton Gifford,No Waiting,31,5
Aveton Gifford,No Waiting At Any Time,1348,236
Axminster,Disabled Parking,18,2
Axminster,Keep Clear Marking (TRO),114,19
Axminster,Limited Waiting,308,50
Axminster,Loading Only,69,11
Axminster,No Waiting,2853,496
Axminster,No Waiting At Any Time,4125,706
Bampton,No Waiting,566,100
Bampton,No Waiting At Any Time,706,120
Bantham,No Waiting,494,89
Bantham,No Waiting At Any Time,456,81
Barnstaple,Clearway route,2335,425
Barnstaple,Disabled Parking,219,30
Barnstaple,Keep Clear Marking (TRO),285,48
Barnstaple,Limited Waiting,3177,529
Barnstaple,Loading Only,454,76
Barnstaple,No Loading,1808,322
Barnstaple,No Loading At Any Time,1673,293
Barnstaple,No Waiting,11215,1958
Barnstaple,No Waiting At Any Time,34791,6080
Barnstaple,Parking Place,224,36
Barnstaple,Pay & Display,237,38
Barnstaple,Public Service Vehicle Parking,144,26
Barnstaple,Residents Permit Parking,7343,1283
Battisborough Cross,No Waiting At Any Time,66,12
Beer,Disabled Parking,8,1
Beer,Limited Waiting,218,36
Beer,No Waiting,3156,565
Beer,No Waiting At Any Time,6189,1101
Beer,Public Service Vehicle Parking,19,3
Bere Alston,Disabled Parking,14,2
Bere Alston,Limited Waiting,35,6
Bere Alston,Loading Only,22,3
Bere Alston,No Waiting,198,33
Bere Alston,No Waiting At Any Time,702,123
Berrynarbor,Limited Waiting,17,2
Berrynarbor,No Loading,22,4
Berrynarbor,No Waiting,22,3
Berrynarbor,No Waiting At Any Time,411,73
Bickington,Limited Waiting,29,5
Bickington,No Waiting At Any Time,1076,190
Bideford,Disabled Parking,73,9
Bideford,Emergency Service Vehicles,20,3
Bideford,Keep Clear Marking (TRO),90,14
Bideford,Limited Waiting,2227,376
Bideford,Loading Only,124,20
Bideford,No Loading,1498,268
Bideford,No Loading At Any Time,809,140
Bideford,No Waiting,3843,668
Bideford,No Waiting At Any Time,13096,2278
Bideford,Pay & Display,406,70
Bideford,Residents Permit Parking,319,54
Bigbury on Sea,No Waiting,984,177
Bigbury on Sea,No Waiting At Any Time,2142,380
Bishops Tawton,Disabled Parking,5,1
Bishops Tawton,No Waiting At Any Time,227,37
Bishopsteignton,Keep Clear Marking (TRO),57,9
Bishopsteignton,Limited Waiting,41,6
Bishopsteignton,No Waiting At Any Time,1062,181
Blackawton,Keep Clear Marking (TRO),25,4
Blackawton,No Waiting At Any Time,62,10
Bovey Tracey,Keep Clear Marking (TRO),25,4
Bovey Tracey,Limited Waiting,271,44
Bovey Tracey,Loading Only,11,2
Bovey Tracey,No Waiting,336,55
Bovey Tracey,No Waiting At Any Time,3459,606
Bow,No Waiting,429,77
Bow,No Waiting At Any Time,1276,225
Bradninch,No Waiting At Any Time,391,66
Braunton,Disabled Parking,19,2
Braunton,Keep Clear Marking (TRO),10,1
Braunton,Limited Waiting,156,26
Braunton,Loading Only,4,1
Braunton,No Loading,450,80
Braunton,No Waiting,304,54
Braunton,No Waiting At Any Time,8475,1501
Bridgerule,Keep Clear Marking (TRO),23,4
Brixton,Keep Clear Marking (TRO),18,3
Brixton,No Waiting At Any Time,116,20
Broadclyst,Keep Clear Marking (TRO),79,14
