Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,4 St Lawrence Lane,,,,Newton Abbot,,TQ13 7DD,10032954008,Ashburton RM,-,-,No,No,No,No,No,No,No
,Post Office,4 St Lawrence Lane,,,Newton Abbot,,TQ13 7DD,10032975367,Ashburton RM,-,-,No,No,No,No,No,No,No
,11 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251907,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,7 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251903,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,15 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251911,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,16 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251912,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,4 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251900,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,6 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251902,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251898,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,6 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242111,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,8 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242113,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,23 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242128,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Pilton Bluecoat School,Pilton Bluecoat School,Abbey Road,,,Barnstaple,,EX31 1JU,100041037298,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,1 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251897,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,8 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251904,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,13 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251909,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,14 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251910,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,9 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251905,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,12 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251908,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,3 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251899,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,10 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251906,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,5 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251901,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,10 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242115,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,12 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242117,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,19 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242124,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,3 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242108,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,28 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242133,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,39 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242142,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Boathouse Club,Boathouse Club,Pathfield School,Abbey Road,,Barnstaple,,EX31 1JU,10012110194,Barnstaple A,Yes,-,No,No,No,No,Yes,No,No
,Cygnet Catering Ltd,Pilton County Infant School,Abbey Road,,Barnstaple,,EX31 1JU,10090336249,Barnstaple A,Yes,-,No,No,No,No,No,No,No
,13 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242118,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,27 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242132,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,Ace Motors,Abbey Road,,Barnstaple,,EX31 1JU,100040242143,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Ace Cars Ltd,Ace Cars Ltd,Abbey Road,,,Barnstaple,,EX31 1JU,100041037295,Barnstaple A,Yes,-,No,No,No,No,No,No,No
A And R Motor Repair,Unit 5,Abbey Road,,,Barnstaple,,EX31 1JU,200002912983,Barnstaple A,-,-,No,No,No,No,Yes,No,No
,1 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242106,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,26 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242131,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,30 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242135,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,37 Abbey Road,,,,Barnstaple,,EX31 1JT,100040242140,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,21 Abbey Road,,,,Barnstaple,,EX31 1QY,100040242126,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Garage,Unit 4,Abbey Road,,,Barnstaple,,EX31 1JU,100041037296,Barnstaple A,-,-,No,No,No,No,No,No,No
