Business_Name,Address Line 1,Address Line 2,Address Line 3,Address_Line_4,Town,County,Post Code,UPRN,Zone Description,Resident RP,Visitor VP,Essential Visitor EVP,Business BP,Additional Info,,,,,,,,,,,,,,,,,,,,,,,,
,1 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251897,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251898,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,3 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251899,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,4 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251900,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,5 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251901,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,6 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251902,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,7 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251903,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,8 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251904,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251905,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,10 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251906,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,11 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251907,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,12 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251908,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,13 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251909,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,14 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251910,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,15 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251911,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,16 Pathfield Lawn,,,,Barnstaple,,EX31 1HW,100040251912,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Fair View,,,,Barnstaple,,EX31 1JR,100040246431,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,57 Fair View,,,,Barnstaple,,EX31 1JR,100040246485,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,58 Fair View,,,,Barnstaple,,EX31 1JR,100040246486,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,59 Fair View,,,,Barnstaple,,EX31 1JR,100040246487,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,60 Fair View,,,,Barnstaple,,EX31 1JR,100040246488,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,61 Fair View,,,,Barnstaple,,EX31 1JR,100040246489,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,62 Fair View,,,,Barnstaple,,EX31 1JR,100040246490,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,63 Fair View,,,,Barnstaple,,EX31 1JR,100040246491,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,64 Fair View,,,,Barnstaple,,EX31 1JR,100040246492,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,65 Fair View,,,,Barnstaple,,EX31 1JR,100040246493,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,66 Fair View,,,,Barnstaple,,EX31 1JR,100040246494,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,67 Fair View,,,,Barnstaple,,EX31 1JR,100040246495,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,68 Fair View,,,,Barnstaple,,EX31 1JR,100040246496,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,69 Fair View,,,,Barnstaple,,EX31 1JR,100040246497,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,70 Fair View,,,,Barnstaple,,EX31 1JR,100040246498,Barnstaple A,YES,YES,YES,NO,,,,,,,,,,,,,,,,,,,,,,,,,
